Class ,K,Mn,Cu,Zn,S,Cl,Sr
0,11311.9,1.81,5.98,11.18,832.28,713.22,4.48
0,10833.45,1.92,5.96,10.32,810.43,651.74,5.27
0,19510.11,2.47,7.2,17.15,1139.55,1593.93,4.46
0,19754.5,3.07,6.98,16.85,1154.51,1608,4.47
0,16051.58,1.94,4.69,7.92,543.13,730.33,4.97
0,15913.4,1.94,4.76,7.54,506.92,728.69,4.99
0,16201.43,1.26,7.87,16.15,795.79,1081.5,4.6
0,16604.54,2.83,7.03,16.11,804.52,1049.45,5.15
0,10299.54,1.55,8.19,12.94,940.29,487.81,5.73
0,10344.99,1.85,7.48,13.24,931.48,498.32,4.42
0,10267.86,2.56,7.24,16.35,975.68,1015.39,8.22
0,9629.59,3.27,7.17,15.8,953.44,972.52,6.2
0,15931.85,1.94,2.24,9.9,1372.25,1275.19,8.52
0,15805.33,2.48,2.8,9.93,1223.3,1108.39,8.51
0,19627.79,6.46,3.59,13.31,1553.57,2068.58,8.66
0,19426.35,5.31,3.5,12.87,1499.96,2032.42,8.58
1,17854.68,0,8.68,11.25,862.68,1053.55,10.61
1,11828.28,2.54,6.58,13,1168.04,706.19,6.09
1,21432.03,0.9,10.16,16.51,1373.45,1780.58,14.03
1,17821.99,1.57,7.68,15.61,1015.73,1821.82,5.11
1,11865.52,0,4.1,5.76,552.87,1074.39,6.39
1,16987.13,3.58,6.48,9.25,953.73,2471.86,5.34
1,11141.52,4.42,8.52,8.83,1030.57,1431.28,13.04
1,16884.98,1.91,5.41,7.71,613.96,1909.52,9.25
1,19205.64,2.54,7.53,18.07,1123.16,2149.55,5.28
1,29334.88,2,14.75,18.22,1737.92,2611.19,13.62
1,13814.58,0.73,10.17,14.48,1375.72,1440.64,9.39
1,13627.38,2.39,13.26,12.8,1138.43,576.34,3.6
1,17282.82,2.62,8.81,11.2,1065.29,2145.93,8.68
1,17667.23,1.68,7.52,13.84,1028.85,1836.69,6.09
1,11362.03,1.2,4.13,7.18,556.44,1067.34,4.48
1,17641.65,3.37,6.72,10.79,1049.53,2547.42,5.77
1,11318.43,4.88,8.45,9.26,996.71,1429.58,11.34
1,17132.45,0.24,5.81,7.2,592.66,1902.63,7.37
1,18875.15,0.86,7.99,17.77,1125.19,2112.1,5.66
1,28418.18,1.78,15.67,17.15,1707.1,2584.82,12.6
1,13120.14,3.92,10.04,14.57,1326.15,1403.98,9.52
1,13546.95,0.82,13,13.52,1125.18,580.09,4.08
1,17168.81,1.52,9.37,10.21,1046.4,2112.64,6.96
1,17584.62,0.99,8.42,12.25,842.36,1028.5,9.04
1,11468.42,0.94,6.09,11.55,1088.91,677.04,6.71
1,21204.38,2.5,10.17,15.81,1315.04,1679.68,16.59
1,23092.57,0.58,3.23,14.01,1453.95,1300.08,7.45
1,22353.17,1.79,2.64,13.01,1430.27,1268.74,9.3
1,18361.74,1.45,3.54,7.79,1183.61,2235.1,6.83
1,17445.63,1.53,3.22,7.18,1146.64,2156.06,7.37
1,11412.5,1.25,5.86,8.23,719.06,709.58,9.65
1,11716.61,0.23,5.75,7.71,765.53,726.51,7.86
1,15915.73,4.85,4.35,7.43,886.57,921.41,5.3
1,15799.92,1.66,4.76,7.19,866.93,891.31,4.88
1,20254.34,-0.34,2.35,6.53,1351.98,1430.51,8.08
1,20010.42,1.63,2.18,6.52,1293.35,1377.79,7.2